id,title,category,tags,image_url,source_url,price
gift-url-ffb624bf25b6e8c3,eva 방수 수영가방,가정/생활용품,가정/생활용품 eva 방수 수영가방,https://gift.url.kr/assets/images/products/2510874.webp,https://gift.url.kr/,
gift-url-d7cd9b663940398f,70x76mm 노트형 포스트잇 먹1도인쇄,사무용잡화,사무용잡화 70x76mm 노트형 포스트잇 먹1도인쇄,https://gift.url.kr/assets/images/products/2318524.webp,https://gift.url.kr/,
gift-url-3f5975b5cfe1799c,스텔라 컵 트로피 중,트로피,트로피 스텔라,https://gift.url.kr/assets/images/products/2013220.webp,https://gift.url.kr/,
gift-url-c402f666b0f4ec2a,협립 3단완전자동 야옹이 암막우산,우산/우의,우산/우의 협립 3단완전자동 야옹이 암막우산,https://gift.url.kr/assets/images/products/2206339.webp,https://gift.url.kr/,
gift-url-f746879c4fe5cd86,써모스 스트랩 원터치 텀블러 550ml,컵제품,컵제품 써모스 스트랩 원터치 텀블러 550ml,https://gift.url.kr/assets/images/products/2209365.webp,https://gift.url.kr/,
gift-url-33ae7af48c50db5e,가제 마린 스카프,수건/손수건,수건/손수건 가제 마린 스카프,https://gift.url.kr/assets/images/products/141569.webp,https://gift.url.kr/,
gift-url-03244daa227dccbb,비코즈 휴대용 버클형 10K 3단 자동 거꾸로 양우산,우산/우의,우산/우의 비코즈 휴대용 버클형 10K 3단 자동 거꾸로 양우산,https://gift.url.kr/assets/images/products/2409670.webp,https://gift.url.kr/,
gift-url-658f15051ac7d611,뉴 시에나 텀블러 600ml,컵제품,컵제품 시에나 텀블러 600ml,https://gift.url.kr/assets/images/products/2514477.webp,https://gift.url.kr/,
gift-url-2cd8f12f8ac2d706,워터프론트 100g 카본 라이트 자외선 차단 6K 3단 ...,우산/우의,우산/우의 워터프론트 100g 카본 라이트 자외선 차단 6K 3단 ...,https://gift.url.kr/assets/images/products/2308912.webp,https://gift.url.kr/,
gift-url-b902580e64987365,제너럴명함지갑,사무용품,사무용품 제너럴명함지갑,https://gift.url.kr/assets/images/products/2202559.webp,https://gift.url.kr/,
gift-url-5da4c71eebffe5ed,소량 500개 전용상품 원형 반달팬시자루 5종,가정/생활용품,가정/생활용품 소량 500개 전용상품 원형 반달팬시자루 5종,https://gift.url.kr/assets/images/products/2605048.webp,https://gift.url.kr/,
